Countries and areas,Under-5 mortality rate (U5MR) 1990,Under-5 mortality rate (U5MR) 2011,U5MR male 2011,U5MR female 2011,Infant mortality rate (under 1) 1990,Infant mortality rate (under 1) 2011,Neonatal  mortality  rate 2011,Total population (thousands) 2011,Annual no. of births (thousands) 2011
Afghanistan,192,101.1,103.3,98.7,129.4,72.7,36.2,32358.26,1407.678
Albania,41.2,14.3,15,13.6,35.7,12.8,7.2,3215.988,41.007
Algeria,65.6,29.8,31.6,28,53.5,25.6,16.6,35980.193,712.254
Andorra,8.3,3.3,3.6,3,6.8,2.8,0.9,86.165,_
Angola,243.2,157.6,164.8,150.2,143.7,96.4,43.3,19618.432,803.274
Antigua and Barbuda,26.8,7.6,8.6,6.6,22.7,6.4,4.1,89.612,_
Argentina,27.6,14.1,15.5,12.7,24.4,12.6,7.5,40764.561,693.484
Armenia,47.2,17.5,19.3,15.4,40.4,15.6,11.1,3100.236,47.148
Australia,9.1,4.5,5,4,7.5,4.1,2.6,22605.732,307.143
Austria,9.4,4.2,4.6,3.8,7.9,3.5,2.5,8413.429,73.582
Azerbaijan,94.5,44.7,46.5,42.6,75.4,38.5,19.2,9306.023,183.787
Bahamas,21.9,16.2,17.3,15,17.9,14.1,7.3,347.176,5.325
Bahrain,20.5,10,10.4,9.6,17.5,8.6,3.9,1323.535,23.405
Bangladesh,138.8,46,48,43.9,96.5,36.7,26.4,150493.658,3016.199
Barbados,17.9,19.7,21.6,17.7,15.7,17.7,10,273.925,2.975
Belarus,17.2,5.6,6.4,4.7,13.9,3.9,2.6,9559.441,106.75
Belgium,10,4.3,4.7,3.8,8.5,3.5,2.3,10754.056,122.628
Belize,43.9,16.9,18.8,14.9,35.2,14.5,8.3,317.928,7.727
Benin,177.3,106,109.4,102.5,106.8,67.9,30.8,9099.922,355.733
Bhutan,138.4,53.7,57,50.3,96.3,42,24.7,738.267,14.832
Bolivia (Plurinational State of),119.5,50.6,53.6,47.5,82.7,39.3,22,10088.108,264.14
Bosnia and Herzegovina,18.8,7.7,8.6,6.7,16.5,6.7,5,3752.228,31.558
Botswana,52.8,25.9,27.8,23.9,41.3,20.3,11.3,2030.738,47.208
Brazil,58,15.6,17.1,14.1,48.8,13.9,9.7,196655.014,2995.976
Brunei Darussalam,12.3,7.2,7.9,6.5,9.2,5.6,3.9,405.938,7.63
Bulgaria,22.2,12.1,13.2,10.9,18.5,10.6,6.5,7446.135,75.042
Burkina Faso,208.4,146.4,151,141.6,104.8,81.6,34.3,16967.845,730.005
Burundi,182.6,139.1,144.7,133.4,109.7,86.3,43.2,8575.172,287.651
Cambodia,116.7,42.5,47.4,37.4,85.1,36.2,19.4,14305.183,317.179
Cameroon,145.2,127.2,134.6,119.6,89.9,79.2,33.4,20030.362,715.773
Canada,8.3,5.6,6,5.1,6.8,4.9,3.6,34349.561,387.636
Cape Verde,58,21.3,22.9,19.7,45,18.2,9.8,500.585,10.194
Central African Republic,169.1,163.5,169.5,157.4,111.5,108.2,46.1,4486.837,156.2
Chad,208.3,169,177.4,160.3,113.2,97.1,42.3,11525.496,510.633
Chile,18.7,8.7,9.5,7.8,15.7,7.7,4.7,17269.525,245.427
China,48.9,14.6,14.8,14.4,38.7,12.6,8.7,1347565.324,16364.165
